TICKER_SYMBOL_IDENTIFIER,PRODUCT_TYPE
PDGIX,Mutual Funds
MIDHX,Mutual Funds
FOMAX,Mutual Funds
SSCQX,Mutual Funds
MEFNX,Mutual Funds
FDKLX,Mutual Funds
PSHIX,Mutual Funds
HAFFX,Mutual Funds
TWEIX,Mutual Funds
LPSAX,Mutual Funds
BIIEX,Mutual Funds
RELRX,Mutual Funds
GASIX,Mutual Funds
PBDBX,Mutual Funds
ODIIX,Mutual Funds
PJGZX,Mutual Funds
FAFRX,Mutual Funds
PDBAX,Mutual Funds
ROWSX,Mutual Funds
SCOBX,Mutual Funds
FOSFX,Mutual Funds
VSMGX,Mutual Funds
FLCCX,Mutual Funds
BLRYX,Mutual Funds
ICSLX,Mutual Funds
FDOXX,Mutual Funds
IAUTX,Mutual Funds
FGABX,Mutual Funds
FSADX,Mutual Funds
JNVMX,Mutual Funds
TGRIX,Mutual Funds
QOPYX,Mutual Funds
LVOTX,Mutual Funds
ANCFX,Mutual Funds
PNCYX,Mutual Funds
PRRHX,Mutual Funds
FAMKX,Mutual Funds
FMCCX,Mutual Funds
MSMLX,Mutual Funds
ACIOX,Mutual Funds
FPEAX,Mutual Funds
FCSTX,Mutual Funds
CSAAX,Mutual Funds
HDGRX,Mutual Funds
MEIGX,Mutual Funds
CVSIX,Mutual Funds
MDGUX,Mutual Funds
WESCX,Mutual Funds
PKSAX,Mutual Funds
FMMSX,Mutual Funds
MFQTX,Mutual Funds
CULYX,Mutual Funds
JIBBX,Mutual Funds
FDBSX,Mutual Funds
LAUKX,Mutual Funds
MSTZX,Mutual Funds
MTZKX,Mutual Funds
PEGZX,Mutual Funds
BMCIX,Mutual Funds
FMDAX,Mutual Funds
FCTKX,Mutual Funds
CWVIX,Mutual Funds
ISFYX,Mutual Funds
LVMRX,Mutual Funds
IDEAX,Mutual Funds
NELAX,Mutual Funds
LMRIX,Mutual Funds
AWPYX,Mutual Funds
ONRDX,Mutual Funds
FOTTX,Mutual Funds
